date,p,variant
2023-12-18,0.016149705203793885,other
2024-01-01,0.023840041015124318,oba
2024-01-01,0.12740322994104078,oxbb
2024-01-01,0.0007690335811330051,och11
2024-01-01,0.22148167136631627,oeg51
2024-01-01,0.04332222507049471,ohk3
2024-01-01,0.568572160984363,ojn
2024-01-01,0.014611638041527875,other
2024-01-15,0.0182004614201487,oba
2024-01-15,0.06511150986926431,oxbb
2024-01-15,0.0002563445270443304,och11
2024-01-15,0.11125352473724685,oeg51
2024-01-15,0.022045629325813887,ohk3
2024-01-15,0.7680082030248653,ojn
2024-01-15,0.015124327095616619,other
2024-01-29,0.012048192771084343,oba
2024-01-29,0.029479620610099976,oxbb
2024-01-29,0.04870546013842604,oeg51
2024-01-29,0.009228402973596506,ohk3
2024-01-29,0.882850551140733,ojn
2024-01-29,0.017687772366060117,other
2024-02-12,0.008715713919507833,oba
2024-02-12,0.016918738784926925,oxbb
2024-02-12,0.021789284798769546,oeg51
2024-02-12,0.00307613432453218,ohk3
2024-02-12,0.9266854652653165,ojn
2024-02-12,0.022814662906947003,other
2024-02-26,0.004870546013842619,oba
2024-02-26,0.01102281466290694,oxbb
2024-02-26,0.008459369392463462,oeg51
2024-02-26,0.0015380671622661074,ohk3
2024-02-26,0.9456549602665982,ojn
2024-02-26,0.007946680338374645,okp3
2024-02-26,0.020507562163547988,other
2024-03-11,0.004614201486798249,oba
2024-03-11,0.006664957703153059,oxbb
2024-03-11,0.006664957703153021,oeg51
2024-03-11,0.001025378108177405,ohk3
2024-03-11,0.9302742886439374,ojn
2024-03-11,0.02665983081261214,okp3
2024-03-11,0.024096385542168752,other
2024-03-25,0.0020507562163547734,oba
2024-03-25,0.0030761343245321784,oxbb
2024-03-25,0.002563445270443476,oeg51
2024-03-25,0.0007690335811330346,ohk3
2024-03-25,0.9087413483722122,ojn
2024-03-25,0.049987182773647776,okp3
2024-03-25,0.032812099461676514,other
2024-04-08,0.0030761343245321784,oba
2024-04-08,0.005383235067931284,oxbb
2024-04-08,0.0012817226352217388,oeg51
2024-04-08,0.0002563445270443686,ohk3
2024-04-08,0.8684952576262496,ojn
2024-04-08,0.09433478595231992,okp3
2024-04-08,0.027172519866700884,other
2024-04-22,0.0020507562163547734,oba
2024-04-22,0.0017944116893104404,oxbb
2024-04-22,0.00025634452704436945,oeg51
2024-04-22,0.000512689054088666,ohk3
2024-04-22,0.7949243783645218,ojn
2024-04-22,0.16841835426813634,okp3
2024-04-22,0.03204306588054362,other
2024-05-06,0.001281722635221738,oba
2024-05-06,0.0007690335811330355,oeg51
2024-05-06,0.0005126890540887025,ohk3
2024-05-06,0.6549602665983081,ojn
2024-05-06,0.2930017944116893,okp3
2024-05-06,0.04947449371955914,other
2024-05-20,0.0007690335811330355,oba
2024-05-20,0.5529351448346578,ojn
2024-05-20,0.4109202768520892,okp3
2024-05-20,0.03537554473212001,other
2024-06-03,0.001025378108177405,oba
2024-06-03,0.46372724942322485,ojn
2024-06-03,0.5101256088182516,okp3
2024-06-03,0.02512176365034613,other
2024-06-17,0.4132273775954883,ojn
2024-06-17,0.5644706485516533,okp3
2024-06-17,0.02230197385285837,other
2024-07-01,0.3568315816457318,ojn
2024-07-01,0.6226608561907202,okp3
2024-07-01,0.020507562163547988,other
2024-07-15,0.39989746218918226,ojn
2024-07-15,0.5857472442963343,okp3
2024-07-15,0.014355293514483503,other
